name1,name2,distance,foreced_redirection
Imo,Borno,1102.081,0
Imo,Adamawa,722.469,0
Imo,Benue,345.305,0
Imo,Plateau,471.822,0
Imo,Rivers,51.349,0
Imo,Lagos,340.025,0
Imo,Zamfara,728.958,0
Imo,Delta,94.275,0
Imo,Nassarawa,361.566,0
Imo,Cross River,112.58,0
Imo,Kebbi,676.368,0
Imo,Ogun,421.514,0
Imo,Abia,63.333,0
Imo,Gombe,660.494,0
Imo,Niger,457.867,0
Imo,Taraba,498.893,0
Imo,Kwara,424.215,0
Imo,Katsina,657.576,0
Imo,Ekiti,310.073,0
Imo,Kogi,236.554,0
Imo,Kano,712.097,0
Imo,Ebonyi,180.804,0
Imo,Oyo,394.275,0
Imo,Federal Capital Territory,386.66,0
Imo,Cameroon,930.346,0
Imo,Chad,1192.388,0
Imo,Niger,1072.068,0
Katsina,Kaduna,258.091,0
Katsina,Akwa Ibom,773.934,0
Katsina,Edo,493.165,0
Katsina,Bayelsa,778.847,0
Katsina,Yobe,507.96,0
Katsina,Borno,784.971,0
Katsina,Adamawa,601.363,0
Katsina,Benue,542.342,0
Katsina,Plateau,263.709,0
Katsina,Rivers,687.271,0
Katsina,Lagos,666.433,0
Katsina,Zamfara,99.85,0
Katsina,Delta,681.267,0
Katsina,Nassarawa,384.028,0
Katsina,Cross River,628.757,0
Katsina,Kebbi,227.136,0
Katsina,Ogun,679.677,0
Katsina,Abia,709.707,0
Katsina,Gombe,466.139,0
Katsina,Niger,223.391,0
Katsina,Taraba,478.803,0
Katsina,Kwara,393.081,0
Katsina,Imo,657.576,0
Katsina,Ekiti,465.416,0
Katsina,Kogi,421.282,0
Katsina,Kano,144.763,0
Katsina,Ebonyi,567.938,0
Katsina,Oyo,593.532,0
Katsina,Federal Capital Territory,271.763,0
Katsina,Cameroon,723.38,0
Katsina,Chad,794.258,0
Katsina,Niger,610.851,0
Ekiti,Kaduna,398.25,0
Ekiti,Akwa Ibom,449.081,0
Ekiti,Edo,169.008,0
Ekiti,Bayelsa,379.432,0
Ekiti,Yobe,848.074,0
Ekiti,Borno,1117.686,0
Ekiti,Adamawa,793.956,0
Ekiti,Benue,486.099,0
Ekiti,Plateau,412.458,0
Ekiti,Rivers,308.418,0
Ekiti,Lagos,205.426,0
Ekiti,Zamfara,504.093,0
Ekiti,Delta,276.107,0
Ekiti,Nassarawa,383.686,0
Ekiti,Cross River,365.07,0
Ekiti,Kebbi,401.029,0
Ekiti,Ogun,241.215,0
Ekiti,Abia,373.278,0
Ekiti,Gombe,687.277,0
Ekiti,Niger,242.856,0
Ekiti,Taraba,571.568,0
Ekiti,Kwara,118.86,0
